"","Legal.Name","Center.Name","Building","Street","Borough","ZipCode","Phone","Age.Range","Program.Type","Child.Care.Type","Violation.Rate.Percent","Average.Violation.Rate.Percent","lessThanAve","noViolation","longitude","latitude"
"1","'THE STUDIO SCHOOL'","'THE STUDIO SCHOOL'","117","WEST 95TH STREET","MANHATTAN",10025,"212-678-2416","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",12.5,33.2035,1,0,-73.9685826707274,40.792823596996
"2","1137 E. 223RD STREET CORPORATION","FAITH CHRISTIAN ACADEMY","1137","EAST 223 STREET","BRONX",10466,"718-881-1085","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.8487740424108,40.882478372691
"3","1199 S E I U / EMPLOYER CHILD CARE CORPORATION","1199 S E I U / EMPLOYER CHILD CARE CORPORATION","2500","CRESTON AVENUE","BRONX",10468,"718-562-2915","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",42.8571,33.2035,0,0,-73.89743520467,40.863423506796
"4","1332 FULTON AVENUE DAY CARE CENTER, INC.","1332 FULTON  DAY CARE CENTER","1332","FULTON AVENUE","BRONX",10456,"718-378-1330","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.9023326072641,40.832869677732
"5","1332 FULTON AVENUE DAY CARE,INC.","IOLA JORDAN DAY CARE CENTER","421","EAST 161 STREET","BRONX",10451,"718-402-4166","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",80,33.2035,0,0,-73.9131418024775,40.824122714371
"6","1869 RICHMOND AVENUE HOLDINGS, LLC","BIG BIRDS PLAYHOUSE CORP.","1869","RICHMOND AVENUE","STATEN ISLAND",10314,"718-370-0534","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-74.1628638944733,40.602099202674
"7","2260 LITTLE SHEPHERDS LLC","LIL  INVENTORS","2260","ANDREWS AVENUE","BRONX",10468,"718-295-2740","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9080438498105,40.860345617107
"8","2495  BROADWAY CENTER LLC","THE GODDARD SCHOOL","1775","York  Avenue","MANHATTAN",10128,"212-860-8700","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9444395992107,40.780067732819
"9","2495  BROADWAY CENTER LLC","THE GODDARD SCHOOL","1775","York  Avenue","MANHATTAN",10128,"212-860-8700","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9455460818795,40.778435792696
"10","2495 BROADWAY CENTER LLC","THE GODDARD SCHOOL","2495","BROADWAY","MANHATTAN",10025,"212-712-2727","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",11.1111,33.2035,1,0,-73.9444395992107,40.780067732819
"11","2495 BROADWAY CENTER LLC","THE GODDARD SCHOOL","2495","BROADWAY","MANHATTAN",10025,"212-712-2727","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",11.1111,33.2035,1,0,-73.9455460818795,40.778435792696
"12","2495 BROADWAY CENTER LLC.","THE GODDARD SCHOOL","1725","YORK AVENUE","MANHATTAN",10128,"212-860-5306","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",25,30.9077,1,0,-73.9444395992107,40.780067732819
"13","2495 BROADWAY CENTER LLC.","THE GODDARD SCHOOL","1725","YORK AVENUE","MANHATTAN",10128,"212-860-5306","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",25,30.9077,1,0,-73.9455460818795,40.778435792696
"14","3467 READY, SET, LEARN, L L C","3467 READY, SET,  LEARN L L C","3463-67","3 AVENUE","BRONX",10456,"718-665-1234","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.9068239335796,40.8302763346131
"15","4 ANGELS DAY CARE INC.","4 ANGELS DAY CARE INC.","245","SIMONSON AVENUE","STATEN ISLAND",10303,"718-876-6498","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-74.1520440899876,40.630483792166
"16","43RD STREET KIDS PRESCHOOL, INC.","43RD STREET KIDS PRESCHOOL, INC.","484","WEST 43 STREET","MANHATTAN",10036,"212-564-7496","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9942614309406,40.75981739774
"17","65 Street Daycare Inc.","65TH STREET DAYCARE INC.","1502","West 1 Street","BROOKLYN",11204,"917-838-3482","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9756273193253,40.609898032149
"18","82ND STREET  ACADEMICS INC","82ND STREET ACADEMICS","81-10","35 AVENUE","QUEENS",11372,"718-457-0429","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",85.7143,33.2035,0,0,-73.8847880891412,40.751662012224
"19","A & E CAROUSEL DAY CARE,INC.","A & E CAROUSEL DAYCARE","150","CLERMONT AVENUE","BROOKLYN",11205,"718-596-7912","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.9711625477631,40.693743329123
"20","A 2 Z KIDZ CENTER LLC","A 2 Z HAPPYLAND","190","EXETER STREET","BROOKLYN",11235,"718-483-9999","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9484972372183,40.577663991281
"21","A CHILD'S PLACE TOO, INC.","A CHILD'S PLACE TOO, INC","100-10","ASTORIA BLVD.","QUEENS",11369,"718-446-0200","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.8689491240066,40.761663863314
"22","A HOUSE ON BEEKMAN, INC.","A HOUSE ON BEEKMAN, INC.","390","JACKSON AVENUE","BRONX",10454,"917-801-3884","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.9103946311847,40.809177522049
"23","A Plus Kidz Academy","A PLUS KIDZ ACADEMY","10510","FLATLANDS AVENUE","BROOKLYN",11236,"718-679-0052","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",20,41.6124,1,0,-73.8939441597257,40.6475216030145
"24","A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM, INC.","A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM, INC.","3053","AVENUE U","BROOKLYN",11229,"718-368-1234","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9368267828281,40.601148266922
"25","A. FANTIS PAROCHIAL SCHOOL","SS Constantine Greek Orthodox Church","195","STATE STREET","BROOKLYN",11201,"718-624-0501","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9914657207518,40.690251515824
"26","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9445587605275,40.688213446029
"27","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9442042857515,40.6881704066558
"28","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-74.0148558267394,40.675485136655
"29","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9865348853008,40.578404030582
"30","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9520627353123,40.705409542435
"31","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9528873837361,40.69453812048
"32","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9473987790484,40.583543100047
"33","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9160443587805,40.646428331273
"34","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-74.0294596962473,40.618423826052
"35","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.932785165991,0.72484829592465
"36","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9577268462478,40.6792162800106
"37","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9788159730161,40.6361263649727
"38","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9058201880522,40.681417495041
"39","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.8880565800835,40.665361954628
