"ZIPCODE","freq"
"00083",872
"10001",8265
"10002",7011
"10003",6628
"10004",738
"10005",517
"10006",355
"10007",1262
"10009",4041
"10010",3465
"10011",6470
"10012",4178
"10013",4397
"10014",4186
"10016",4373
"10017",2597
"10018",4344
"10019",6653
"10020",936
"10021",1705
"10022",5133
"10023",3410
"10024",2661
"10025",5456
"10026",3817
"10027",7587
"10028",2300
"10029",7519
"10030",2863
"10031",4175
"10032",4059
"10033",3875
"10034",3327
"10035",6621
"10036",7008
"10037",1801
"10038",1449
"10039",2416
"10040",2503
"10044",169
"10048",59
"10065",2646
"10069",73
"10075",1033
"10111",57
"10112",89
"10115",8
"10128",2196
"10169",2
"10280",176
"10281",111
"10282",213
"10301",3218
"10302",1526
"10303",2265
"10304",2784
"10305",1773
"10306",2103
"10307",589
"10308",811
"10309",958
"10310",1600
"10312",1303
"10314",2977
"10451",6963
"10452",7155
"10453",6407
"10454",5540
"10455",6716
"10456",8045
"10457",8578
"10458",7182
"10459",5960
"10460",5572
"10461",3548
"10462",4401
"10463",4191
"10464",223
"10465",2472
"10466",5983
"10467",8774
"10468",6907
"10469",3965
"10470",1216
"10471",1087
"10472",5520
"10473",4733
"10474",1870
"10475",2124
"11001",163
"11004",396
"11005",151
"11040",99
"11096",18
"11101",4324
"11102",1856
"11103",2708
"11104",958
"11105",1603
"11106",2196
"11109",58
"11201",7560
"11203",7436
"11204",2403
"11205",3545
"11206",9171
"11207",12637
"11208",10805
"11209",3417
"11210",4524
"11211",5095
"11212",11363
"11213",7063
"11214",4295
"11215",3461
"11216",6422
"11217",4058
"11218",2606
"11219",2949
"11220",5995
"11221",8138
"11222",2617
"11223",3788
"11224",4724
"11225",4764
"11226",9235
"11228",1532
"11229",3652
"11230",3178
"11231",3058
"11232",2370
"11233",9104
"11234",5240
"11235",3969
"11236",7198
"11237",4466
"11238",3973
"11239",1471
"11249",2494
"11251",114
"11354",4004
"11355",3284
"11356",1127
"11357",1283
"11358",1325
"11359",1
"11360",543
"11361",1401
"11362",709
"11363",222
"11364",1233
"11365",1778
"11366",467
"11367",1951
"11368",5906
"11369",2985
"11370",4013
"11371",38
"11372",4399
"11373",5200
"11374",1308
"11375",2301
"11377",3899
"11378",1787
"11379",1221
"11385",5501
"11411",1285
"11412",2581
"11413",3069
"11414",1505
"11415",714
"11416",1279
"11417",2463
"11418",2242
"11419",2954
"11420",3376
"11421",1570
"11422",1891
"11423",1784
"11426",889
"11427",966
"11428",1353
"11429",1781
"11430",52
"11432",4528
"11433",4450
"11434",6673
"11435",3689
"11436",1405
"11451",5
"11691",6526
"11692",1850
"11693",1717
"11694",1092
"11697",164
