"ZIPCODE","freq"
"00083",1551
"10001",15741
"10002",14423
"10003",12077
"10004",1675
"10005",1107
"10006",889
"10007",3964
"10009",7556
"10010",5416
"10011",10401
"10012",6936
"10013",8110
"10014",5248
"10016",6285
"10017",3936
"10018",7159
"10019",10128
"10020",794
"10021",2000
"10022",6579
"10023",7955
"10024",5139
"10025",10618
"10026",7921
"10027",16206
"10028",3595
"10029",17544
"10030",6327
"10031",9246
"10032",8098
"10033",6688
"10034",5093
"10035",14514
"10036",12092
"10037",3661
"10038",3321
"10039",5783
"10040",3843
"10044",221
"10048",67
"10065",3659
"10069",95
"10075",1252
"10080",1
"10111",82
"10112",124
"10115",8
"10128",3082
"10280",250
"10281",143
"10282",329
"10301",7824
"10302",3161
"10303",6009
"10304",6446
"10305",3788
"10306",4837
"10307",1613
"10308",1550
"10309",2504
"10310",3915
"10312",2880
"10314",8126
"10451",15022
"10452",17101
"10453",12152
"10454",11366
"10455",13210
"10456",18195
"10457",17498
"10458",14056
"10459",12274
"10460",12119
"10461",7768
"10462",9636
"10463",9865
"10464",484
"10465",6160
"10466",11034
"10467",17642
"10468",13172
"10469",8382
"10470",2162
"10471",1913
"10472",10841
"10473",11290
"10474",3665
"10475",5325
"11001",177
"11004",448
"11005",128
"11040",112
"11096",19
"11101",7470
"11102",3289
"11103",5680
"11104",1611
"11105",2888
"11106",3919
"11109",96
"11201",14588
"11203",11283
"11204",4034
"11205",6295
"11206",15259
"11207",17812
"11208",15598
"11209",7022
"11210",7860
"11211",7607
"11212",17044
"11213",10832
"11214",8127
"11215",5656
"11216",8997
"11217",8111
"11218",4278
"11219",5245
"11220",9693
"11221",12050
"11222",4801
"11223",6328
"11224",9358
"11225",8107
"11226",14401
"11228",2591
"11229",6127
"11230",5312
"11231",4993
"11232",4608
"11233",13804
"11234",9148
"11235",7285
"11236",10751
"11237",6582
"11238",6073
"11239",3608
"11249",3554
"11251",164
"11354",8708
"11355",4955
"11356",2063
"11357",1599
"11358",1577
"11359",2
"11360",610
"11361",2077
"11362",692
"11363",239
"11364",1181
"11365",2821
"11366",654
"11367",2812
"11368",9948
"11369",5682
"11370",4549
"11371",81
"11372",7457
"11373",10988
"11374",3305
"11375",4838
"11377",6364
"11378",2927
"11379",1950
"11385",9829
"11411",1407
"11412",3592
"11413",3636
"11414",1698
"11415",1184
"11416",2603
"11417",3623
"11418",4086
"11419",4256
"11420",4904
"11421",2800
"11422",2174
"11423",2518
"11426",1051
"11427",1289
"11428",1812
"11429",2293
"11430",72
"11432",7479
"11433",6867
"11434",12296
"11435",5502
"11436",1892
"11451",11
"11691",8498
"11692",2368
"11693",2283
"11694",1692
"11697",93
