"","ZIPCODE","rat"
"1","10001",695
"2","10002",4579
"3","10003",2717
"4","10004",103
"5","10005",46
"6","10006",105
"7","10007",328
"8","10009",4100
"9","10010",365
"10","10011",1608
"11","10012",1332
"12","10013",1786
"13","10014",1680
"14","10016",731
"15","10017",145
"16","10018",276
"17","10019",1086
"18","10020",1
"19","10021",612
"20","10022",523
"21","10023",1340
"22","10024",3309
"23","10025",4013
"24","10026",2502
"25","10027",3452
"26","10028",1449
"27","10029",3877
"28","10030",1683
"29","10031",3579
"30","10032",3096
"31","10033",2608
"32","10034",2045
"33","10035",1891
"34","10036",1010
"35","10037",615
"36","10038",753
"37","10039",560
"38","10040",1745
"39","10044",15
"40","10065",481
"41","10069",7
"42","10075",449
"43","10106",1
"44","10115",2
"45","10119",4
"46","10128",2178
"47","10162",17
"48","10168",1
"49","10278",4
"50","10280",26
"51","10281",2
"52","10282",8
"53","10301",472
"54","10302",258
"55","10303",224
"56","10304",265
"57","10305",171
"58","10306",210
"59","10307",28
"60","10308",40
"61","10309",41
"62","10310",198
"63","10312",126
"64","10314",267
"65","10451",2359
"66","10452",5363
"67","10453",6445
"68","10454",1113
"69","10455",2036
"70","10456",8189
"71","10457",11294
"72","10458",10107
"73","10459",3011
"74","10460",3730
"75","10461",116
"76","10462",1146
"77","10463",1798
"78","10464",4
"79","10465",49
"80","10466",170
"81","10467",5198
"82","10468",6676
"83","10469",420
"84","10470",87
"85","10471",175
"86","10472",3341
"87","10473",314
"88","10474",1071
"89","10475",51
"90","11001",10
"91","11004",3
"92","11101",858
"93","11102",105
"94","11103",500
"95","11104",249
"96","11105",65
"97","11106",331
"98","11109",3
"99","11201",1459
"100","11203",527
"101","11204",57
"102","11205",3038
"103","11206",6194
"104","11207",1434
"105","11208",392
"106","11209",48
"107","11210",213
"108","11211",2952
"109","11212",783
"110","11213",2275
"111","11214",185
"112","11215",1767
"113","11216",6826
"114","11217",3038
"115","11218",237
"116","11219",150
"117","11220",266
"118","11221",8145
"119","11222",1276
"120","11223",90
"121","11224",172
"122","11225",1387
"123","11226",1704
"124","11228",19
"125","11229",34
"126","11230",126
"127","11231",352
"128","11232",283
"129","11233",2182
"130","11234",109
"131","11235",552
"132","11236",143
"133","11237",7578
"134","11238",3822
"135","11239",4
"136","11249",778
"137","11354",216
"138","11355",243
"139","11356",19
"140","11357",87
"141","11358",21
"142","11360",6
"143","11361",81
"144","11362",2
"145","11363",2
"146","11364",9
"147","11365",16
"148","11366",4
"149","11367",42
"150","11368",872
"151","11369",69
"152","11370",86
"153","11372",1636
"154","11373",668
"155","11374",186
"156","11375",156
"157","11377",1098
"158","11378",127
"159","11379",78
"160","11385",2507
"161","11411",16
"162","11412",46
"163","11413",12
"164","11414",23
"165","11415",48
"166","11416",27
"167","11417",88
"168","11418",146
"169","11419",95
"170","11420",157
"171","11421",59
"172","11422",11
"173","11423",62
"174","11426",19
"175","11427",14
"176","11428",11
"177","11429",35
"178","11432",651
"179","11433",286
"180","11434",71
"181","11435",637
"182","11436",28
"183","11691",76
"184","11692",18
"185","11693",3
"186","11694",7
"187","12345",2
