"ZIPCODE","freq"
"10002",4
"10009",1
"10011",1
"10014",2
"10016",1
"10026",6
"10027",6
"10029",15
"10030",3
"10031",3
"10032",7
"10033",1
"10034",7
"10035",3
"10037",4
"10038",1
"10039",3
"10040",4
"10302",1
"10303",3
"10304",2
"10310",3
"10451",8
"10452",4
"10453",6
"10454",7
"10455",5
"10456",19
"10457",12
"10458",5
"10459",5
"10460",5
"10462",1
"10463",1
"10466",5
"10467",4
"10468",5
"10469",9
"10472",3
"10473",4
"10474",3
"10475",3
"11101",3
"11104",2
"11106",2
"11201",5
"11203",6
"11205",3
"11206",9
"11207",12
"11208",22
"11210",4
"11211",2
"11212",7
"11213",12
"11214",2
"11216",11
"11220",1
"11221",6
"11222",1
"11223",1
"11224",9
"11225",3
"11226",5
"11229",2
"11230",1
"11233",26
"11234",2
"11236",6
"11238",8
"11239",1
"11354",5
"11355",2
"11358",1
"11367",2
"11368",2
"11369",1
"11372",3
"11373",2
"11375",2
"11377",2
"11411",1
"11412",5
"11413",3
"11417",1
"11418",4
"11420",2
"11422",1
"11428",1
"11429",1
"11433",5
"11434",6
"11435",2
"11436",1
"11691",8
"11693",1
