"ZIPCODE","freq"
"00083",394
"10001",1966
"10002",3155
"10003",1648
"10004",393
"10005",239
"10006",205
"10007",568
"10009",1781
"10010",978
"10011",1858
"10012",851
"10013",1386
"10014",1112
"10016",1522
"10017",910
"10018",915
"10019",2879
"10020",69
"10021",496
"10022",1293
"10023",1514
"10024",1202
"10025",2866
"10026",1951
"10027",3731
"10028",579
"10029",4241
"10030",1747
"10031",2477
"10032",1969
"10033",1586
"10034",1199
"10035",2572
"10036",2200
"10037",768
"10038",985
"10039",1626
"10040",997
"10044",106
"10048",6
"10065",686
"10069",31
"10075",313
"10111",8
"10112",20
"10115",1
"10128",826
"10169",2
"10280",111
"10281",31
"10282",87
"10301",2993
"10302",1122
"10303",1996
"10304",2528
"10305",1686
"10306",2147
"10307",491
"10308",783
"10309",720
"10310",1430
"10312",1271
"10314",2745
"10451",3678
"10452",3757
"10453",4086
"10454",2746
"10455",3165
"10456",5091
"10457",4875
"10458",3148
"10459",3221
"10460",3160
"10461",2331
"10462",2340
"10463",2050
"10464",193
"10465",1953
"10466",3229
"10467",4327
"10468",2788
"10469",2280
"10470",572
"10471",386
"10472",3075
"10473",3164
"10474",906
"10475",1353
"11001",55
"11004",173
"11005",92
"11040",35
"11096",6
"11101",2247
"11102",1016
"11103",1212
"11104",656
"11105",785
"11106",1155
"11109",38
"11201",3572
"11203",3876
"11204",1073
"11205",1637
"11206",4111
"11207",5498
"11208",4484
"11209",1940
"11210",1988
"11211",1983
"11212",6127
"11213",3405
"11214",2029
"11215",1601
"11216",2523
"11217",1728
"11218",1247
"11219",1099
"11220",2131
"11221",4108
"11222",1211
"11223",1526
"11224",2430
"11225",2483
"11226",4469
"11228",674
"11229",1465
"11230",1385
"11231",977
"11232",909
"11233",4655
"11234",2527
"11235",1732
"11236",3773
"11237",1573
"11238",1616
"11239",419
"11249",904
"11251",24
"11354",2126
"11355",1615
"11356",759
"11357",678
"11358",625
"11359",1
"11360",307
"11361",615
"11362",206
"11363",101
"11364",510
"11365",697
"11366",198
"11367",1061
"11368",2410
"11369",1272
"11370",668
"11371",5
"11372",1910
"11373",1796
"11374",708
"11375",1023
"11377",2163
"11378",860
"11379",665
"11385",2888
"11411",478
"11412",1048
"11413",1365
"11414",635
"11415",434
"11416",769
"11417",1000
"11418",1306
"11419",1659
"11420",1436
"11421",829
"11422",1031
"11423",819
"11426",386
"11427",483
"11428",647
"11429",769
"11430",13
"11432",2104
"11433",1796
"11434",2337
"11435",1551
"11436",552
"11691",3184
"11692",887
"11693",737
"11694",611
"11697",38
